"ITTER107","Territorio","TIPO_DATO29","Variabile","ATECO_2007","Ateco 2007","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","11110","imprese","B","estrazione di minerali da cave e miniere","2020","2020",1745,,
"IT","Italia","11110","imprese","R","attività artistiche, sportive, di intrattenimento e divertimento","2020","2020",70192,,
"IT","Italia","11110","imprese","05","estrazione di carbone (esclusa torba)","2020","2020",0,,
"IT","Italia","11110","imprese","22","fabbricazione di articoli in gomma e materie plastiche","2020","2020",9580,,
"IT","Italia","11110","imprese","24","metallurgia","2020","2020",3218,,
"IT","Italia","11110","imprese","25","fabbricazione di prodotti in metallo (esclusi macchinari e attrezzature)","2020","2020",68515,,
"IT","Italia","11110","imprese","47","commercio al dettaglio (escluso quello di autoveicoli e di motocicli)","2020","2020",557148,,
"IT","Italia","11110","imprese","49","trasporto terrestre e trasporto mediante condotte","2020","2020",88838,,
"IT","Italia","11110","imprese","56","attività dei servizi di ristorazione","2020","2020",268977,,
"IT","Italia","11110","imprese","71","attività degli studi di architettura e d'ingegneria, collaudi ed analisi tecniche","2020","2020",206148,,
"IT","Italia","11110","imprese","105","industria lattiero-casearia","2020","2020",2929,,
"IT","Italia","11110","imprese","192","fabbricazione di prodotti derivanti dalla raffinazione del petrolio","2020","2020",,"c","dato oscurato per la tutela del segreto statistico"
"IT","Italia","11110","imprese","239","fabbricazione di prodotti abrasivi e di prodotti in minerali non metalliferi nca","2020","2020",639,,
"IT","Italia","11110","imprese","243","fabbricazione di altri prodotti della prima trasformazione dell'acciaio","2020","2020",639,,
"IT","Italia","11110","imprese","244","produzione di metalli di base preziosi e altri metalli non ferrosi, trattamento dei combustibili nucleari","2020","2020",820,,
"IT","Italia","11110","imprese","245","fonderie","2020","2020",936,,
"IT","Italia","11110","imprese","271","fabbricazione di motori, generatori e trasformatori elettrici e di apparecchiature per la distribuzione e il controllo dell'elettricità","2020","2020",1757,,
"IT","Italia","11110","imprese","275","fabbricazione di apparecchi per uso domestico","2020","2020",480,,
"IT","Italia","11110","imprese","279","fabbricazione di altre apparecchiature elettriche","2020","2020",3824,,
"IT","Italia","11110","imprese","293","fabbricazione di parti ed accessori per autoveicoli e loro motori","2020","2020",1624,,
